,Population,Area ,Pop. Density 
Afghanistan ,31056997,647500,48.0
Albania ,3581655,28748,124.6
Algeria ,32930091,2381740,13.8
Anguilla ,13477,102,132.1
Antigua & Barbuda ,69108,443,156.0
Argentina ,39921833,2766890,14.4
Armenia ,2976372,29800,99.9
Aruba ,71891,193,372.5
Australia ,20264082,7686850,2.6
Austria ,8192880,83870,97.7
Azerbaijan ,7961619,86600,91.9
"Bahamas, The ",303770,13940,21.8
Bahrain ,698585,665,1050.5
Bangladesh ,147365352,144000,1023.4
Barbados ,279912,431,649.5
Belarus ,10293011,207600,49.6
Belgium ,10379067,30528,340.0
Belize ,287730,22966,12.5
Benin ,7862944,112620,69.8
Bermuda ,65773,53,1241.0
Bhutan ,2279723,47000,48.5
Bolivia ,8989046,1098580,8.2
Bosnia & Herzegovina ,4498976,51129,88.0
Botswana ,1639833,600370,2.7
Brazil ,188078227,8511965,22.1
British Virgin Is. ,23098,153,151.0
Brunei ,379444,5770,65.8
Bulgaria ,7385367,110910,66.6
Burkina Faso ,13902972,274200,50.7
Burma ,47382633,678500,69.8
Burundi ,8090068,27830,290.7
Cambodia ,13881427,181040,76.7
Cameroon ,17340702,475440,36.5
Canada ,33098932,9984670,3.3
Cape Verde ,420979,4033,104.4
Cayman Islands ,45436,262,173.4
Central African Rep. ,4303356,622984,6.9
Chad ,9944201,1284000,7.7
Chile ,16134219,756950,21.3
China ,1313973713,9596960,136.9
Colombia ,43593035,1138910,38.3
Comoros ,690948,2170,318.4
"Congo, Dem. Rep. ",62660551,2345410,26.7
"Congo, Repub. of the ",3702314,342000,10.8